"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"1","Most Improved Player","Most Improved Player","Most Improved Player","Most Improved Player","Most Improved Player","Most Improved Player","Most Improved Player","Most Improved Player","Most Improved Player","Most Improved Player"
"2","YEAR","PLAYER","POS","TEAM","FG%","PPG","RPG","APG","BLKPG",NA
"3","2018","Victor Oladipo","G","Indiana Pacers",".477","23.1","5.2","4.3","0.8",NA
"4","2017","Giannis Antetokounmpo","F","Milwaukee Bucks",".521","22.9","8.8","5.4","1.9",NA
"5","2016","CJ McCollum","G","Portland Trail Blazers",".448","20.8","3.2","4.3","0.3",NA
"6","2015","Jimmy Butler","G","Chicago Bulls",".462","20.0","5.8","3.3","0.6",NA
"7","2014","Goran Dragic","G","Phoenix Suns",".505","20.3","3.2","5.9","0.3",NA
"8","2013","Paul George","G","Indiana Pacers",".419","17.4","7.6","4.1","0.6",NA
"9","2012","Ryan Anderson","PF","Orlando Magic",".439","16.1","7.7","0.9","0.4",NA
"10","2011","Kevin Love","PF","Minnesota Timberwolves",".470","20.2","15.2","2.5","0.4",NA
"11","2010","Aaron Brooks","G","Houston Rockets",".432","19.6","2.6","5.3","0.2",NA
"12","2009","Danny Granger","SF","Indiana Pacers",".447","25.8","5.1","2.7","1.4",NA
"13","2008","Hedo Turkoglu","SF","Orlando Magic",".456","19.5","5.7","5.0","0.3",NA
"14","2007","Monta Ellis","SG","Golden State Warriors",".475","16.5","3.2","4.1","0.3",NA
"15","2006","Boris Diaw","C","Phoenix Suns",".526","13.3","6.9","6.2","1.0",NA
"16","2005","Bobby Simmons","SF","LA Clippers",".466","16.4","5.9","2.7","0.2",NA
"17","2004","Zach Randolph","PF","Portland Trail Blazers",".485","20.1","10.5","2.0","0.5",NA
"18","2003","Gilbert Arenas","PG","Golden State Warriors",".431","18.3","4.7","6.3","0.2",NA
"19","2002","Jermaine O'Neal","C","Indiana Pacers",".479","19.0","10.5","1.6","2.3",NA
"20","2001","Tracy McGrady","SG","Orlando Magic",".457","26.8","7.5","4.6","1.5",NA
"21","2000","Jalen Rose","SG","Indiana Pacers",".471","18.2","4.8","4.0","0.6",NA
"22","1999","Darrell Armstrong","PG","Orlando Magic",".441","13.8","3.6","6.7","0.1",NA
"23","1998","Alan Henderson","PF","Atlanta Hawks",".485","14.3","6.4","1.1","0.5",NA
"24","1997","Isaac Austin","C","Miami Heat",".502","9.7","5.8","1.2","0.5",NA
"25","1996","Gheorghe Muresan","C","Washington Bullets",".584","14.5","9.6","0.7","2.3",NA
"26","1995","Dana Barros","PG","Philadelphia 76ers",".490","20.6","3.3","7.5","0.0",NA
"27","1994","Don MacLean","F","Washington Bullets",".502","18.2","6.2","2.1","0.3",NA
"28","1993","Mahmoud Abdul-Rauf","G","Denver Nuggets",".450","19.2","2.8","4.2","0.1",NA
"29","1992","Pervis Ellison","F","Washington Bullets",".539","20.0","11.2","2.9","2.7",NA
"30","1991","Scott Skiles","G","Orlando Magic",".445","17.2","3.4","8.4","0.1",NA
"31","1990","Rony Seikaly","C","Miami Heat",".502","16.6","10.4","1.1","1.7",NA
"32","1989","Kevin Johnson","G","Phoenix Suns",".505","20.4","4.2","12.2","0.3",NA
"33","1988","Kevin Duckworth","C","Portland Trail Blazers",".496","15.8","7.4","0.8","0.4",NA
"34","1987","Dale Ellis","G","Seattle SuperSonics",".516","24.9","5.5","2.9","0.4",NA
"35","1986","Alvin Robertson","G","San Antonio Spurs",".514","17.0","6.3","5.5","0.5",NA
