"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"1","All-Defensive 1st Team","All-Defensive 1st Team","All-Defensive 1st Team","All-Defensive 1st Team","All-Defensive 1st Team","All-Defensive 1st Team","All-Defensive 1st Team","All-Defensive 1st Team","All-Defensive 1st Team","All-Defensive 1st Team"
"2","YEAR","PLAYER","POS","TEAM","FG%","PPG","RPG","APG","BLKPG",NA
"3","2018","Jrue Holiday","G","New Orleans Pelicans",".494","19.0","4.5","6.0","0.8",NA
"4","","Anthony Davis","F","New Orleans Pelicans",".534","28.1","11.1","2.3","2.6",NA
"5","","Robert Covington","F","Philadelphia 76ers",".413","12.6","5.4","2.0","0.9",NA
"6","","Victor Oladipo","G","Indiana Pacers",".477","23.1","5.2","4.3","0.8",NA
"7","","Rudy Gobert","C","Utah Jazz",".622","13.5","10.7","1.4","2.3",NA
"8","2017","Chris Paul","G","LA Clippers",".476","18.1","5.0","9.2","0.1",NA
"9","","Patrick Beverley","G","Houston Rockets",".420","9.5","5.9","4.2","0.4",NA
"10","","Kawhi Leonard","F","San Antonio Spurs",".485","25.5","5.8","3.5","0.7",NA
"11","","Draymond Green","F","Golden State Warriors",".418","10.2","7.9","7.0","1.4",NA
"12","","Rudy Gobert","C","Utah Jazz",".661","14.0","12.8","1.2","2.6",NA
"13","2016","Chris Paul","G","LA Clippers",".462","19.5","4.2","10.0","0.2",NA
"14","","DeAndre Jordan","C","LA Clippers",".703","12.7","13.8","1.2","2.3",NA
"15","","Avery Bradley","G","Boston Celtics",".448","15.2","2.9","2.1","0.3",NA
"16","","Kawhi Leonard","F","San Antonio Spurs",".505","21.2","6.8","2.6","1.0",NA
"17","","Draymond Green","F","Golden State Warriors",".490","14.0","9.5","7.4","1.4",NA
"18","2015","Tony Allen","G","Memphis Grizzlies",".495","8.6","4.4","1.4","0.5",NA
"19","","Chris Paul","G","LA Clippers",".485","19.1","4.6","10.2","0.2",NA
"20","","DeAndre Jordan","C","LA Clippers",".710","11.5","15.0","0.7","2.2",NA
"21","","Kawhi Leonard","F","San Antonio Spurs",".479","16.5","7.2","2.5","0.8",NA
"22","","Draymond Green","F","Golden State Warriors",".443","11.7","8.2","3.7","1.3",NA
"23","2014","Andre Iguodala","F","Golden State Warriors",".480","9.3","4.7","4.2","0.3",NA
"24","","Chris Paul","G","LA Clippers",".467","19.1","4.3","10.7","0.1",NA
"25","","Joakim Noah","C","Chicago Bulls",".475","12.6","11.3","5.4","1.5",NA
"26","","Serge Ibaka","F","Oklahoma City Thunder",".536","15.1","8.8","1.0","2.7",NA
"27","","Paul George","F","Indiana Pacers",".424","21.7","6.8","3.5","0.3",NA
"28","2013","Tyson Chandler","C","New York Knicks",".638","10.4","10.7","0.9","1.1",NA
"29","","LeBron James","F","Miami Heat",".565","26.8","8.0","7.3","0.9",NA
"30","","Tony Allen","G","Memphis Grizzlies",".445","8.9","4.6","1.2","0.6",NA
"31","","Chris Paul","G","LA Clippers",".481","16.9","3.7","9.7","0.1",NA
"32","","Joakim Noah","C","Chicago Bulls",".481","11.9","11.1","4.0","2.1",NA
"33","","Serge Ibaka","F","Oklahoma City Thunder",".573","13.2","7.7","0.5","3.0",NA
"34","2012","LeBron James","F","Miami Heat",".531","27.1","7.9","6.2","0.8",NA
"35","","Tony Allen","G","Memphis Grizzlies",".469","9.8","4.0","1.4","0.6",NA
"36","","Dwight Howard","C","Los Angeles Lakers",".573","20.6","14.5","1.9","2.1",NA
"37","","Chris Paul","G","LA Clippers",".478","19.8","3.6","9.1","0.1",NA
"38","","Serge Ibaka","F","Oklahoma City Thunder",".535","9.1","7.5","0.4","3.7",NA
"39","2011","Kobe Bryant","SF","Los Angeles Lakers",".451","25.3","5.1","4.7","0.1",NA
"40","","Kevin Garnett","PF","Boston Celtics",".528","14.9","8.9","2.4","0.8",NA
"41","","LeBron James","SF","Miami Heat",".510","26.7","7.5","7.0","0.6",NA
"42","","Dwight Howard","C","Orlando Magic",".593","22.9","14.1","1.4","2.4",NA
"43","","Rajon Rondo","PG","Boston Celtics",".475","10.6","4.4","11.2","0.2",NA
"44","2010","Kobe Bryant","SF","Los Angeles Lakers",".456","27.0","5.4","5.0","0.3",NA
"45","","Gerald Wallace","SF","Charlotte Bobcats",".484","18.2","10.0","2.1","1.1",NA
"46","","LeBron James","SF","Cleveland Cavaliers",".503","29.7","7.3","8.6","1.0",NA
"47","","Dwight Howard","C","Orlando Magic",".612","18.3","13.2","1.8","2.8",NA
"48","","Rajon Rondo","PG","Boston Celtics",".508","13.7","4.4","9.8","0.1",NA
"49","2009","Kobe Bryant","SF","Los Angeles Lakers",".467","26.8","5.2","4.9","0.5",NA
"50","","Kevin Garnett","PF","Boston Celtics",".531","15.8","8.5","2.5","1.2",NA
"51","","LeBron James","SF","Cleveland Cavaliers",".489","28.4","7.6","7.2","1.1",NA
"52","","Dwight Howard","C","Orlando Magic",".572","20.6","13.8","1.4","2.9",NA
"53","","Chris Paul","PG","New Orleans Hornets",".503","22.8","5.5","11.0","0.1",NA
"54","2008","Bruce Bowen","SF","San Antonio Spurs",".407","6.0","2.9","1.1","0.3",NA
"55","","Kobe Bryant","SF","Los Angeles Lakers",".459","28.3","6.3","5.4","0.5",NA
"56","","Marcus Camby","C","Denver Nuggets",".450","9.1","13.1","3.3","3.6",NA
"57","","Tim Duncan","C","San Antonio Spurs",".497","19.3","11.3","2.8","1.9",NA
"58","","Kevin Garnett","PF","Boston Celtics",".539","18.8","9.2","3.4","1.3",NA
"59","2007","Raja Bell","SG","Phoenix Suns",".432","14.7","3.2","2.5","0.3",NA
"60","","Bruce Bowen","SF","San Antonio Spurs",".405","6.2","2.7","1.4","0.3",NA
"61","","Kobe Bryant","SF","Los Angeles Lakers",".463","31.6","5.7","5.4","0.5",NA
"62","","Marcus Camby","C","Denver Nuggets",".473","11.2","11.7","3.2","3.3",NA
"63","","Tim Duncan","C","San Antonio Spurs",".546","20.0","10.6","3.4","2.4",NA
"64","2006","Metta World Peace","SF","Sacramento Kings",".404","17.6","5.1","3.6","0.7",NA
"65","","Bruce Bowen","SF","San Antonio Spurs",".433","7.5","3.9","1.5","0.4",NA
"66","","Kobe Bryant","SF","Los Angeles Lakers",".450","35.4","5.3","4.5","0.4",NA
"67","","Jason Kidd","PG","New Jersey Nets",".404","13.3","7.3","8.4","0.4",NA
"68","","Andrei Kirilenko","SF","Utah Jazz",".460","15.3","8.0","4.3","3.2",NA
"69","","Ben Wallace","PF","Detroit Pistons",".510","7.3","11.3","1.9","2.2",NA
"70","2005","Bruce Bowen","SF","San Antonio Spurs",".420","8.2","3.5","1.5","0.5",NA
"71","","Tim Duncan","C","San Antonio Spurs",".496","20.3","11.1","2.7","2.6",NA
"72","","Kevin Garnett","PF","Minnesota Timberwolves",".502","22.2","13.5","5.7","1.4",NA
"73","","Larry Hughes","SG","Washington Wizards",".430","22.0","6.3","4.7","0.3",NA
"74","","Ben Wallace","PF","Detroit Pistons",".453","9.7","12.2","1.7","2.4",NA
"75","2004","Metta World Peace","SF","Indiana Pacers",".421","18.3","5.3","3.7","0.7",NA
"76","","Bruce Bowen","SF","San Antonio Spurs",".420","6.9","3.1","1.4","0.4",NA
"77","","Kobe Bryant","SF","Los Angeles Lakers",".438","24.0","5.5","5.1","0.4",NA
"78","","Kevin Garnett","PF","Minnesota Timberwolves",".499","24.2","13.9","5.0","2.2",NA
"79","","Ben Wallace","PF","Detroit Pistons",".421","9.5","12.4","1.7","3.0",NA
"80","2003","Kobe Bryant","SF","Los Angeles Lakers",".451","30.0","6.9","5.9","0.8",NA
"81","","Doug Christie","SG","Sacramento Kings",".479","9.4","4.3","4.7","0.5",NA
"82","","Tim Duncan","C","San Antonio Spurs",".513","23.3","12.9","3.9","2.9",NA
"83","","Kevin Garnett","PF","Minnesota Timberwolves",".502","23.0","13.4","6.0","1.6",NA
"84","","Ben Wallace","PF","Detroit Pistons",".481","6.9","15.4","1.6","3.2",NA
"85","2002","Tim Duncan","C","San Antonio Spurs",".508","25.5","12.7","3.7","2.5",NA
"86","","Kevin Garnett","PF","Minnesota Timberwolves",".470","21.2","12.1","5.2","1.6",NA
"87","","Jason Kidd","PG","New Jersey Nets",".391","14.7","7.3","9.9","0.2",NA
"88","","Gary Payton","PG","Seattle SuperSonics",".467","22.1","4.8","9.0","0.3",NA
"89","","Ben Wallace","PF","Detroit Pistons",".531","7.6","13.0","1.4","3.5",NA
