"","X1","X2","X3"
"1",NA,"Player","2003/04"
"2",1,"Kevin Garnett","$28,000,000"
"3",2,"Shaquille O'Neal","$24,749,999"
"4",3,"Dikembe Mutombo","$17,714,291"
"5",4,"Rasheed Wallace","$17,000,000"
"6",5,"Allan Houston","$15,937,500"
"7",5,"Chris Webber","$15,937,500"
"8",7,"Shawn Kemp","$14,941,935"
"9",8,"Shareef Abdur-Rahim","$13,500,000"
"10",8,"Vin Baker","$13,500,000"
"11",8,"Zydrunas Ilgauskas","$13,500,000"
"12",8,"Antoine Walker","$13,500,000"
"13",8,"Kobe Bryant","$13,500,000"
"14",8,"Latrell Sprewell","$13,500,000"
"15",8,"Antonio McDyess","$13,500,000"
"16",8,"Ray Allen","$13,500,000"
"17",8,"Allen Iverson","$13,500,000"
"18",8,"Anfernee Hardaway","$13,500,000"
"19",8,"Stephon Marbury","$13,500,000"
"20",19,"Michael Finley","$13,281,250"
"21",20,"Keith Van Horn","$13,279,750"
"22",20,"Grant Hill","$13,279,750"
"23",20,"Tracy McGrady","$13,279,750"
"24",20,"Jalen Rose","$13,279,750"
"25",24,"Jason Kidd","$13,152,000"
"26",24,"Jermaine O'Neal","$13,152,000"
"27",26,"Antonio Davis","$12,925,000"
"28",27,"Tim Duncan","$12,676,125"
"29",28,"Damon Stoudamire","$12,375,000"
"30",29,"Eddie Jones","$12,333,750"
"31",30,"Brian Grant","$12,130,648"
"32",31,"Vlade Divac","$12,051,510"
"33",32,"Nick Van Exel","$11,956,625"
"34",33,"Tim Thomas","$11,825,000"
"35",34,"Tom Gugliotta","$11,670,000"
"36",35,"Paul Pierce","$11,326,219"
"37",35,"Antawn Jamison","$11,326,219"
"38",35,"Dirk Nowitzki","$11,326,219"
"39",35,"Vince Carter","$11,326,219"
"40",39,"Terrell Brandon","$11,100,000"
"41",40,"Steve Francis","$10,960,000"
"42",40,"Elton Brand","$10,960,000"
"43",40,"Baron Davis","$10,960,000"
"44",40,"Shawn Marion","$10,960,000"
"45",44,"Glenn Robinson","$10,730,000"
"46",45,"Theo Ratliff","$10,156,250"
"47",46,"Lamar Odom","$9,963,596"
"48",47,"Mike Bibby","$9,500,000"
"49",48,"Kerry Kittles","$9,266,666"
"50",49,"Dale Davis","$9,061,875"
"51",50,"Toni Kukoc","$9,056,250"
"52",51,"Greg Ostertag","$8,666,666"
"53",52,"Gilbert Arenas","$8,536,000"
"54",53,"Jamal Mashburn","$8,525,000"
"55",54,"Jason Terry","$8,333,333"
"56",55,"Raef LaFrentz","$8,178,750"
"57",56,"Andre Miller","$8,000,000"
"58",56,"Wally Szczerbiak","$8,000,000"
"59",56,"PJ Brown","$8,000,000"
"60",59,"Glen Rice","$7,885,000"
"61",60,"Erick Dampier","$7,842,000"
"62",61,"Maurice Taylor","$7,800,000"
"63",62,"Derek Anderson","$7,794,000"
