"","X1","X2","X3","X4","X5","X6","X7","X8"
"1",NA,"Player","2018/19","2019/20","2020/21","2021/22","2022/23","2023/24"
"2",1,"Stephen Curry","$37,457,154","$40,231,758","$43,006,362","$45,780,966","$0","$0"
"3",2,"Russell Westbrook","$35,665,000","$38,150,000","$40,600,000","","","$0"
"4",3,"Chris Paul","$35,654,150","$38,506,482","$41,358,814","$44,211,146","$0","$0"
"5",3,"LeBron James","$35,654,150","$37,436,858","$39,219,566","$41,002,274","$0","$0"
"6",5,"Blake Griffin","$31,873,932","$34,234,964","$36,595,996","$38,957,028","$0","$0"
"7",6,"Gordon Hayward","$31,214,295","$32,700,690","$34,187,085","$0","$0","$0"
"8",7,"Kyle Lowry","$31,000,000","$33,296,296","$0","$0","$0","$0"
"9",8,"James Harden","$30,570,000","$38,150,000","$40,600,000","","","$0"
"10",9,"Paul George","$30,560,700","$33,005,556","$35,450,412","$37,895,268","$0","$0"
"11",10,"Mike Conley","$30,521,115","$32,511,623","$34,502,130","$0","$0","$0"
"12",11,"Kevin Durant","$30,000,000","$31,500,000","$0","$0","$0","$0"
"13",12,"Paul Millsap","$29,230,769","$30,000,000","$0","$0","$0","$0"
"14",13,"Al Horford","$28,928,710","$30,123,015","$0","$0","$0","$0"
"15",14,"Damian Lillard","$27,977,689","$29,802,321","$31,626,953","$0","$0","$0"
"16",15,"Carmelo Anthony","$27,928,140","$0","$0","$0","$0","$0"
"17",16,"DeMar DeRozan","$27,739,975","$27,739,975","$27,739,975","$0","$0","$0"
"18",17,"Chris Bosh","$26,837,720","$0","$0","$0","$0","$0"
"19",18,"Jrue Holiday","$26,131,111","$26,131,111","$26,131,111","$27,020,000","$0","$0"
"20",19,"Otto Porter","$26,011,913","$27,250,576","$28,489,239","$0","$0","$0"
"21",20,"CJ McCollum","$25,759,766","$27,556,959","$29,354,152","$0","$0","$0"
"22",21,"Nikola Jokic","$25,467,250","$27,504,630","$29,542,010","$31,579,390","$0","$0"
"23",21,"Joel Embiid","$25,467,250","$27,250,000","$29,000,000","","","$0"
"24",21,"Andrew Wiggins","$25,467,250","$25,467,250","$27,504,630","$29,542,010","$31,579,390","$33,616,770"
"25",24,"Anthony Davis","$25,434,263","$27,093,019","$28,751,775","$0","$0","$0"
"26",25,"Andre Drummond","$25,434,262","$27,093,018","$28,751,774","$0","$0","$0"
"27",25,"Bradley Beal","$25,434,262","$27,093,018","$28,751,774","$0","$0","$0"
"28",27,"Hassan Whiteside","$24,434,262","$27,093,018","$0","$0","$0","$0"
"29",28,"Dwight Howard","$24,256,725","$5,603,850","$0","$0","$0","$0"
"30",29,"Giannis Antetokounmpo","$24,157,304","$25,842,697","$27,528,088","$0","$0","$0"
"31",29,"Steven Adams","$24,157,304","$25,842,697","$27,528,088","$0","$0","$0"
"32",31,"Kevin Love","$24,119,025","$28,942,830","$31,258,256","$31,258,256","$28,942,830","$0"
"33",31,"Marc Gasol","$24,119,025","$25,595,700","$0","$0","$0","$0"
"34",33,"Harrison Barnes","$24,107,258","$25,102,512","$0","$0","$0","$0"
"35",33,"Chandler Parsons","$24,107,258","$25,102,512","$0","$0","$0","$0"
"36",35,"Nicolas Batum","$24,000,000","$25,565,217","$27,130,434","$0","$0","$0"
"37",36,"Kawhi Leonard","$23,114,066","$21,329,750","$0","$0","$0","$0"
"38",37,"DeAndre Jordan","$22,897,200","$0","$0","$0","$0","$0"
"39",38,"Rudy Gobert","$22,741,573","$24,258,427","$25,775,281","$0","$0","$0"
"40",39,"LaMarcus Aldridge","$22,347,015","$26,000,000","$24,000,000","$0","$0","$0"
"41",40,"Serge Ibaka","$21,666,667","$23,271,604","$0","$0","$0","$0"
"42",41,"Aaron Gordon","$21,590,909","$19,863,636","$18,136,364","$16,409,091","","$0"
"43",42,"Danilo Gallinari","$21,587,579","$22,615,559","$0","$0","$0","$0"
"44",43,"Victor Oladipo","$21,000,000","$21,000,000","$21,000,000","$0","$0","$0"
"45",44,"Ryan Anderson","$20,421,546","$21,264,637","$0","$0","$0","$0"
"46",45,"Joakim Noah","$20,261,172","$6,431,666","$6,431,666","$6,431,666","$0","$0"
"47",46,"Kyrie Irving","$20,099,189","$21,329,752","$0","$0","$0","$0"
"48",47,"Jabari Parker","$20,000,000","$20,000,000","$0","$0","$0","$0"
"49",48,"Jimmy Butler","$19,841,627","$19,841,627","$0","$0","$0","$0"
"50",49,"Zach LaVine","$19,500,000","$19,500,000","$19,500,000","$19,500,000","$0","$0"
"51",50,"Allen Crabbe","$19,332,500","$18,500,000","$0","$0","$0","$0"
"52",51,"Tyler Johnson","$19,245,370","$19,245,370","$0","$0","$0","$0"
"53",52,"John Wall","$19,169,800","$38,150,000","$41,202,000","$44,254,000","$47,306,000","$0"
"54",53,"Jeff Teague","$19,000,000","$19,000,000","$0","$0","$0","$0"
"55",53,"George Hill","$19,000,000","$18,000,000","$0","$0","$0","$0"
"56",55,"Klay Thompson","$18,988,725","$0","$0","$0","$0","$0"
"57",56,"Enes Kanter","$18,622,514","$0","$0","$0","$0","$0"
"58",57,"Wesley Matthews","$18,622,513","$0","$0","$0","$0","$0"
"59",58,"Goran Dragic","$18,109,175","$19,217,900","$0","$0","$0","$0"
"60",59,"Kent Bazemore","$18,089,888","$19,269,663","$0","$0","$0","$0"
"61",60,"Evan Turner","$17,868,853","$18,606,556","$0","$0","$0","$0"
"62",61,"Tristan Thompson","$17,469,565","$18,539,130","$0","$0","$0","$0"
"63",61,"Draymond Green","$17,469,565","$18,539,130","$0","$0","$0","$0"
"64",63,"Tim Hardaway Jr","$17,325,000","$18,150,000","$18,975,000","$0","$0","$0"
"65",64,"Reggie Jackson","$17,043,478","$18,086,956","$0","$0","$0","$0"
"66",65,"Bismack Biyombo","$17,000,000","$17,000,000","$0","$0","$0","$0"
"67",65,"Evan Fournier","$17,000,000","$17,000,000","$17,000,000","$0","$0","$0"
"68",67,"Derrick Favors","$16,900,000","$16,900,000","$0","$0","$0","$0"
"69",68,"Pau Gasol","$16,800,000","$16,000,000","$0","$0","$0","$0"
"70",69,"Luol Deng","$16,747,954","$5,000,000","$5,000,000","$5,000,000","$0","$0"
"71",70,"Jonas Valanciunas","$16,539,326","$17,617,976","$0","$0","$0","$0"
"72",71,"Gary Harris","$16,517,857","$17,839,286","$19,160,714","$20,482,143","$0","$0"
