"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"1","All-Rookie 1st Team","All-Rookie 1st Team","All-Rookie 1st Team","All-Rookie 1st Team","All-Rookie 1st Team","All-Rookie 1st Team","All-Rookie 1st Team","All-Rookie 1st Team","All-Rookie 1st Team","All-Rookie 1st Team"
"2","YEAR","PLAYER","POS","TEAM","FG%","PPG","RPG","APG","BLKPG",NA
"3","2018","Kyle Kuzma","F","Los Angeles Lakers",".450","16.1","6.3","1.8","0.4",NA
"4","","Ben Simmons","F","Philadelphia 76ers",".545","15.8","8.1","8.2","0.9",NA
"5","","Donovan Mitchell","G","Utah Jazz",".437","20.5","3.7","3.7","0.3",NA
"6","","Jayson Tatum","F","Boston Celtics",".475","13.9","5.0","1.6","0.7",NA
"7","","Lauri Markkanen","F","Chicago Bulls",".434","15.2","7.5","1.2","0.6",NA
"8","2017","Malcolm Brogdon","G","Milwaukee Bucks",".457","10.2","2.8","4.2","0.2",NA
"9","","Buddy Hield","G","Sacramento Kings",".426","10.6","3.3","1.5","0.1",NA
"10","","Willy Hernangomez","C","New York Knicks",".529","8.2","7.0","1.3","0.5",NA
"11","","Dario Saric","F","Philadelphia 76ers",".411","12.8","6.3","2.2","0.4",NA
"12","","Joel Embiid","C","Philadelphia 76ers",".466","20.2","7.8","2.1","2.5",NA
"13","2016","Kristaps Porzingis","F","New York Knicks",".421","14.3","7.3","1.3","1.9",NA
"14","","Nikola Jokic","C","Denver Nuggets",".512","10.0","7.0","2.4","0.6",NA
"15","","Jahlil Okafor","C","Philadelphia 76ers",".508","17.5","7.0","1.2","1.2",NA
"16","","Devin Booker","G","Phoenix Suns",".423","13.8","2.5","2.6","0.3",NA
"17","","Karl-Anthony Towns","F","Minnesota Timberwolves",".542","18.3","10.5","2.0","1.7",NA
"18","2015","Nikola Mirotic","F","Chicago Bulls",".405","10.2","4.9","1.2","0.7",NA
"19","","Jordan Clarkson","G","Los Angeles Lakers",".448","11.9","3.2","3.5","0.2",NA
"20","","Elfrid Payton","G","Orlando Magic",".425","8.9","4.3","6.5","0.2",NA
"21","","Nerlens Noel","C","Philadelphia 76ers",".462","9.9","8.1","1.7","1.9",NA
"22","","Andrew Wiggins","F","Minnesota Timberwolves",".437","16.9","4.6","2.1","0.6",NA
"23","2014","Mason Plumlee","F","Brooklyn Nets",".659","7.4","4.4","0.9","0.8",NA
"24","","Victor Oladipo","G","Orlando Magic",".419","13.8","4.1","4.1","0.5",NA
"25","","Tim Hardaway Jr.","G","New York Knicks",".428","10.2","1.5","0.8","0.1",NA
"26","","Trey Burke","G","Utah Jazz",".380","12.8","3.0","5.7","0.1",NA
"27","","Michael Carter-Williams","G","Philadelphia 76ers",".405","16.7","6.2","6.3","0.6",NA
"28","2013","Harrison Barnes","F","Golden State Warriors",".439","9.2","4.1","1.2","0.2",NA
"29","","Bradley Beal","G","Washington Wizards",".410","13.9","3.8","2.4","0.5",NA
"30","","Anthony Davis","F","New Orleans Hornets",".516","13.5","8.2","1.0","1.8",NA
